1::Toy Story (1995)::An;imation|Children's|Comedy
2315::Bride of Chucky (;1998)::Horror|Thriller
2316::Practical Magic (;1998)::Drama|Romance
2317::Alarmist, The (19;97)::Comedy
2318::Happiness (1998):;:Comedy
2319::Reach the Rock (1;997)::Comedy
2320::Apt Pupil (1998):;:Drama|Thriller
2321::Pleasantville (19;98)::Comedy
2322::Soldier (1998)::A;ction|Adventure|Sci-Fi|Thriller|War
2323::Cruise, The (1998;)::Documentary
2324::Life Is Beautiful;(La Vita è bella) (1997)::Comedy|Drama
2325::Orgazmo (1997)::C;omedy
2326::Shattered Image (;1998)::Drama|Thriller
2327::Tales from the Da;rkside: The Movie (1990)::Horror
2328::Vampires (1998)::;Horror
2329::American History;X (1998)::Drama
2330::Hands on a Hard B;ody (1996)::Documentary
2331::Living Out Loud (;1998)::Comedy|Romance
2332::Belly (1998)::Cri;me|Drama
2333::Gods and Monsters;(1998)::Drama
2334::Siege, The (1998);::Action|Thriller
2335::Waterboy, The (19;98)::Comedy
2336::Elizabeth (1998):;:Drama
2337::Velvet Goldmine (;1998)::Drama
2338::I Still Know What;You Did Last Summer (1998)::Horror|Mystery|Thriller
2339::I'll Be Home For;Christmas (1998)::Comedy|Romance
2340::Meet Joe Black (1;998)::Romance
2341::Dancing at Lughna;sa (1998)::Drama
2342::Hard Core Logo (1;996)::Comedy
2343::Naked Man, The (1;998)::Drama
2344::Runaway Train (19;85)::Action|Adventure|Drama|Thriller
2345::Desert Bloom (198;6)::Drama
2346::Stepford Wives, T;he (1975)::Sci-Fi|Thriller
2347::Pope of Greenwich;Village, The (1984)::Action
2348::Sid and Nancy (19;86)::Drama
2349::Mona Lisa (1986):;:Comedy|Thriller
2350::Heart Condition (;1990)::Comedy
2351::Nights of Cabiria;(Le Notti di Cabiria) (1957)::Drama
2352::Big Chill, The (1;983)::Comedy|Drama
2353::Enemy of the Stat;e (1998)::Action|Thriller
2354::Rugrats Movie, Th;e (1998)::Animation|Children's|Comedy
2355::Bug's Life, A (19;98)::Animation|Children's|Comedy
2356::Celebrity (1998):;:Comedy
2357::Central Station (;Central do Brasil) (1998)::Drama
2358::Savior (1998)::Dr;ama
2359::Waking Ned Devine;(1998)::Comedy
2360::Celebration, The;(Festen) (1998)::Drama
2361::Pink Flamingos (1;972)::Comedy
2362::Glen or Glenda (1;953)::Drama
2363::Godzilla (Gojira);(1954)::Action|Sci-Fi
2364::Godzilla (Gojira);(1984)::Action|Sci-Fi
2365::King Kong vs. God;zilla (Kingukongu tai Gojira) (1962)::Action|Sci-Fi
2366::King Kong (1933):;:Action|Adventure|Horror
2367::King Kong (1976):;:Action|Adventure|Horror
2368::King Kong Lives (;1986)::Action|Adventure|Horror
2369::Desperately Seeki;ng Susan (1985)::Comedy|Romance
2370::Emerald Forest, T;he (1985)::Action|Adventure|Drama
2371::Fletch (1985)::Co;medy
2372::Fletch Lives (198;9)::Comedy
2373::Red Sonja (1985):;:Action|Adventure
2374::Gung Ho (1986)::C;omedy|Drama
2375::Money Pit, The (1;986)::Comedy
2376::View to a Kill, A;(1985)::Action
2377::Lifeforce (1985):;:Horror|Sci-Fi
2378::Police Academy (1;984)::Comedy
2379::Police Academy 2:;Their First Assignment (1985)::Comedy
2380::Police Academy 3:;Back in Training (1986)::Comedy
2381::Police Academy 4:;Citizens on Patrol (1987)::Comedy
2382::Police Academy 5:;Assignment: Miami Beach (1988)::Comedy
2383::Police Academy 6:;City Under Siege (1989)::Comedy
2384::Babe: Pig in the;City (1998)::Children's|Comedy
2385::Home Fries (1998);::Comedy|Romance
2386::Jerry Springer: R;ingmaster (1998)::Drama
2387::Very Bad Things (;1998)::Comedy|Crime
2388::Steam: The Turkis;h Bath (Hamam) (1997)::Drama|Romance
2389::Psycho (1998)::Cr;ime|Horror|Thriller
2390::Little Voice (199;8)::Comedy
2391::Simple Plan, A (1;998)::Crime|Thriller
2392::Jack Frost (1998);::Comedy|Drama
2393::Star Trek: Insurr;ection (1998)::Action|Sci-Fi
2394::Prince of Egypt,;The (1998)::Animation|Musical
2395::Rushmore (1998)::;Comedy
2396::Shakespeare in Lo;ve (1998)::Comedy|Romance
2397::Mass Appeal (1984;)::Drama
2398::Miracle on 34th S;treet (1947)::Drama
2399::Santa Claus: The;Movie (1985)::Adventure|Children's|Fantasy
2400::Prancer (1989)::C;hildren's|Drama
2401::Pale Rider (1985);::Western
2402::Rambo: First Bloo;d Part II (1985)::Action|War
2403::First Blood (1982;)::Action
2404::Rambo III (1988):;:Action|War
2405::Jewel of the Nile;, The (1985)::Action|Adventure|Comedy|Romance
2406::Romancing the Sto;ne (1984)::Action|Adventure|Comedy|Romance
2407::Cocoon (1985)::Co;medy|Sci-Fi
2408::Cocoon: The Retur;n (1988)::Comedy|Sci-Fi
2409::Rocky II (1979)::;Action|Drama
2410::Rocky III (1982):;:Action|Drama
2411::Rocky IV (1985)::;Action|Drama
2412::Rocky V (1990)::A;ction|Drama
2413::Clue (1985)::Come;dy|Mystery
2414::Young Sherlock Ho;lmes (1985)::Action|Adventure|Mystery
2415::Violets Are Blue.;.. (1986)::Drama|Romance
2416::Back to School (1;986)::Comedy
2417::Heartburn (1986):;:Comedy|Drama
2418::Nothing in Common;(1986)::Comedy
2419::Extremities (1986;)::Drama|Thriller
2420::Karate Kid, The (;1984)::Drama
2421::Karate Kid, Part;II, The (1986)::Action|Adventure|Drama
2422::Karate Kid III, T;he (1989)::Action|Adventure|Drama
2423::Christmas Vacatio;n (1989)::Comedy
2424::You've Got Mail (;1998)::Comedy|Romance
2425::General, The (199;8)::Crime
2426::Theory of Flight,;The (1998)::Comedy|Drama|Romance
2427::Thin Red Line, Th;e (1998)::Action|Drama|War
2428::Faculty, The (199;8)::Horror|Sci-Fi
2429::Mighty Joe Young;(1998)::Adventure|Children's|Drama
2430::Mighty Joe Young;(1949)::Adventure|Children's|Drama
2431::Patch Adams (1998;)::Comedy|Drama
2432::Stepmom (1998)::D;rama
2433::Civil Action, A (;1998)::Drama
2434::Down in the Delta;(1998)::Drama
2435::Hurlyburly (1998);::Drama
2436::Tea with Mussolin;i (1999)::Comedy
2437::Wilde (1997)::Dra;ma
2438::Outside Ozona (19;98)::Drama|Thriller
2439::Affliction (1997);::Drama
2440::Another Day in Pa;radise (1998)::Drama
2441::Hi-Lo Country, Th;e (1998)::Drama|Western
2442::Hilary and Jackie;(1998)::Drama
2443::Playing by Heart;(1998)::Drama|Romance
2444::24 7: Twenty Four;Seven (1997)::Comedy|Drama
2445::At First Sight (1;999)::Drama
2446::In Dreams (1999):;:Thriller
2447::Varsity Blues (19;99)::Comedy|Drama
2448::Virus (1999)::Hor;ror|Sci-Fi
2449::Garbage Pail Kids;Movie, The (1987)::Adventure|Children's
2450::Howard the Duck (;1986)::Adventure|Children's|Sci-Fi
2451::Gate, The (1987):;:Horror
2452::Gate II: Trespass;ers, The (1990)::Horror
2453::Boy Who Could Fly;, The (1986)::Drama|Fantasy
2454::Fly, The (1958)::;Horror|Sci-Fi
2455::Fly, The (1986)::;Horror|Sci-Fi
2456::Fly II, The (1989;)::Horror|Sci-Fi
2457::Running Scared (1;986)::Action|Comedy
2458::Armed and Dangero;us (1986)::Comedy|Crime
2459::Texas Chainsaw Ma;ssacre, The (1974)::Horror
2460::Texas Chainsaw Ma;ssacre 2, The (1986)::Horror
2461::Leatherface: Texa;s Chainsaw Massacre III (1990)::Horror
2462::Return of the Tex;as Chainsaw Massacre, The (1994)::Horror
2463::Ruthless People (;1986)::Comedy
2464::Trick or Treat (1;986)::Horror
2465::Deadly Friend (19;86)::Horror
2466::Belizaire the Caj;un (1986)::Drama
2467::Name of the Rose,;The (1986)::Mystery
2468::Jumpin' Jack Flas;h (1986)::Action|Comedy|Romance|Thriller
2469::Peggy Sue Got Mar;ried (1986)::Comedy|Romance
2470::Crocodile Dundee;(1986)::Adventure|Comedy
2471::Crocodile Dundee;II (1988)::Adventure|Comedy
2472::Tough Guys (1986);::Comedy
2473::Soul Man (1986)::;Comedy
2474::Color of Money, T;he (1986)::Drama
2475::52 Pick-Up (1986);::Action|Mystery|Thriller
2476::Heartbreak Ridge;(1986)::Action|War
2477::Firewalker (1986);::Adventure
2478::Three Amigos! (19;86)::Comedy|Western
2479::Gloria (1999)::Dr;ama|Thriller
2480::Dry Cleaning (Net;toyage à sec) (1997)::Drama
2481::My Name Is Joe (1;998)::Drama|Romance
2482::Still Crazy (1998;)::Comedy|Romance
2483::Day of the Beast,;The (El Día de la bestia) (1995)::Comedy|Horror|Thriller
2484::Tinseltown (1998);::Comedy
2485::She's All That (1;999)::Comedy|Romance
2486::24-hour Woman (19;98)::Drama
2487::Blood, Guts, Bull;ets and Octane (1998)::Action|Comedy
2488::Peeping Tom (1960;)::Drama|Horror|Thriller
2489::Spanish Fly (1998;)::Drama
2490::Payback (1999)::A;ction|Thriller
2491::Simply Irresistib;le (1999)::Comedy|Romance
2492::20 Dates (1998)::;Comedy
2493::Harmonists, The (;1997)::Drama
2494::Last Days, The (1;998)::Documentary
2495::Fantastic Planet,;The (La Planète sauvage) (1973)::Animation|Sci-Fi
2496::Blast from the Pa;st (1999)::Comedy|Romance
2497::Message in a Bott;le (1999)::Romance
2498::My Favorite Marti;an (1999)::Comedy|Sci-Fi
2499::God Said 'Ha!' (1;998)::Comedy
2500::Jawbreaker (1999);::Comedy
2501::October Sky (1999;)::Drama
2502::Office Space (199;9)::Comedy|Romance
2503::Apple, The (Sib);(1998)::Drama
2504::200 Cigarettes (1;999)::Comedy|Drama
2505::8MM (1999)::Thril;ler
2506::Other Sister, The;(1999)::Comedy|Drama|Romance
2507::Breakfast of Cham;pions (1999)::Comedy
2508::Breaks, The (1999;)::Drama
2509::Eight Days a Week;(1997)::Comedy
2510::Just the Ticket (;1999)::Comedy|Romance
2511::Long Goodbye, The;(1973)::Crime
2512::Ballad of Narayam;a, The (Narayama Bushiko) (1982)::Drama
2513::Pet Sematary (198;9)::Horror
2514::Pet Sematary II (;1992)::Horror
2515::Children of the C;orn II: The Final Sacrifice (1993)::Horror
2516::Children of the C;orn III (1994)::Horror
2517::Christine (1983):;:Horror
2518::Night Shift (1982;)::Comedy
2519::House on Haunted;Hill (1958)::Horror
2520::Airport (1970)::D;rama
2521::Airport 1975 (197;4)::Drama
2522::Airport '77 (1977;)::Drama
2523::Rollercoaster (19;77)::Drama|Thriller
2524::Towering Inferno,;The (1974)::Action|Drama
2525::Alligator (1980):;:Action|Horror|Sci-Fi
2526::Meteor (1979)::Sc;i-Fi
2527::Westworld (1973):;:Action|Sci-Fi|Thriller|Western
2528::Logan's Run (1976;)::Action|Adventure|Sci-Fi
2529::Planet of the Ape;s (1968)::Action|Sci-Fi
2530::Beneath the Plane;t of the Apes (1970)::Action|Sci-Fi
2531::Battle for the Pl;anet of the Apes (1973)::Action|Sci-Fi
2532::Conquest of the P;lanet of the Apes (1972)::Action|Sci-Fi
2533::Escape from the P;lanet of the Apes (1971)::Action|Sci-Fi
2534::Avalanche (1978):;:Action
2535::Earthquake (1974);::Action
2536::Concorde: Airport;'79, The (1979)::Drama
2537::Beyond the Poseid;on Adventure (1979)::Adventure
2538::Dancemaker (1998);::Documentary
2539::Analyze This (199;9)::Comedy
2540::Corruptor, The (1;999)::Action|Crime|Drama|Thriller
2541::Cruel Intentions;(1999)::Drama
2542::Lock, Stock & Two;Smoking Barrels (1998)::Comedy|Crime|Thriller
2543::Six Ways to Sunda;y (1997)::Comedy
2544::School of Flesh,;The (L' École de la chair) (1998)::Drama
2545::Relax... It's Jus;t Sex (1998)::Comedy
2546::Deep End of the O;cean, The (1999)::Drama
2547::Harvest (1998)::D;rama
2548::Rage: Carrie 2, T;he (1999)::Horror
2549::Wing Commander (1;999)::Action|Sci-Fi
2550::Haunting, The (19;63)::Horror|Thriller
2551::Dead Ringers (198;8)::Drama|Thriller
2552::My Boyfriend's Ba;ck (1993)::Comedy
2553::Village of the Da;mned (1960)::Horror|Sci-Fi|Thriller
2554::Children of the D;amned (1963)::Horror|Sci-Fi|Thriller
2555::Baby Geniuses (19;99)::Comedy
2556::Telling You (1998;)::Comedy|Drama|Romance
2557::I Stand Alone (Se;ul contre tous) (1998)::Drama
2558::Forces of Nature;(1999)::Comedy|Romance
2559::King and I, The (;1999)::Animation|Children's
2560::Ravenous (1999)::;Drama|Horror
2561::True Crime (1999);::Crime|Thriller
2562::Bandits (1997)::D;rama
2563::Beauty (1998)::Dr;ama
2564::Empty Mirror, The;(1999)::Drama
2565::King and I, The (;1956)::Musical
2566::Doug's 1st Movie;(1999)::Animation|Children's
2567::EDtv (1999)::Come;dy
2568::Mod Squad, The (1;999)::Action|Crime
2569::Among Giants (199;8)::Drama|Romance
2570::Walk on the Moon,;A (1999)::Drama|Romance
2571::Matrix, The (1999;)::Action|Sci-Fi|Thriller
2572::10 Things I Hate;About You (1999)::Comedy|Romance
2573::Tango (1998)::Dra;ma
2574::Out-of-Towners, T;he (1999)::Comedy
2575::Dreamlife of Ange;ls, The (La Vie rêvée des anges) (1998)::Drama
2576::Love, etc. (1996);::Drama
2577::Metroland (1997):;:Comedy|Drama
2578::Sticky Fingers of;Time, The (1997)::Sci-Fi
2579::Following (1998):;:Drama
2580::Go (1999)::Crime;
2581::Never Been Kissed;(1999)::Comedy|Romance
2582::Twin Dragons (Shu;ang long hui) (1992)::Action|Comedy
2583::Cookie's Fortune;(1999)::Mystery
2584::Foolish (1999)::C;omedy
2585::Lovers of the Arc;tic Circle, The (Los Amantes del Círculo Polar) (1998)::Drama|Romance
2586::Goodbye, Lover (1;999)::Comedy|Crime|Thriller
2587::Life (1999)::Come;dy
2588::Clubland (1998)::;Drama
2589::Friends & Lovers;(1999)::Comedy|Drama|Romance
2590::Hideous Kinky (19;98)::Drama
2591::Jeanne and the Pe;rfect Guy (Jeanne et le garçon formidable) (1998)::Comedy|Romance
2592::Joyriders, The (1;999)::Drama
2593::Monster, The (Il;Mostro) (1994)::Comedy
2594::Open Your Eyes (A;bre los ojos) (1997)::Drama|Romance|Sci-Fi
2595::Photographer (Fot;oamator) (1998)::Documentary
2596::SLC Punk! (1998):;:Comedy|Drama
2597::Lost & Found (199;9)::Comedy|Romance
2598::Pushing Tin (1999;)::Comedy
2599::Election (1999)::;Comedy
2600::eXistenZ (1999)::;Action|Sci-Fi|Thriller
2601::Little Bit of Sou;l, A (1998)::Comedy
2602::Mighty Peking Man;(Hsing hsing wang) (1977)::Adventure|Sci-Fi
2603::Nô (1998)::Drama;
2604::Let it Come Down:;The Life of Paul Bowles (1998)::Documentary
2605::Entrapment (1999);::Crime|Thriller
2606::Idle Hands (1999);::Comedy|Horror
2607::Get Real (1998)::;Drama
2608::Heaven (1998)::Th;riller
2609::King of Masks, Th;e (Bian Lian) (1996)::Drama
2610::Three Seasons (19;99)::Drama
2611::Winslow Boy, The;(1998)::Drama
2612::Mildred Pierce (1;945)::Drama
2613::Night of the Come;t (1984)::Action|Horror|Sci-Fi
2614::Chopping Mall (a.;k.a. Killbots) (1986)::Action|Horror|Sci-Fi
2615::My Science Projec;t (1985)::Adventure|Sci-Fi
2616::Dick Tracy (1990);::Action|Crime
2617::Mummy, The (1999);::Action|Adventure|Horror|Thriller
2618::Castle, The (1997;)::Comedy
2619::Mascara (1999)::D;rama
2620::This Is My Father;(1998)::Drama|Romance
2621::Xiu Xiu: The Sent;-Down Girl (Tian yu) (1998)::Drama|Romance
2622::Midsummer Night's;Dream, A (1999)::Comedy|Fantasy
2623::Trippin' (1999)::;Comedy
2624::After Life (1998);::Drama
2625::Black Mask (Hak h;ap) (1996)::Action
2626::Edge of Seventeen;(1998)::Comedy|Drama|Romance
2627::Endurance (1998):;:Documentary|Drama
2628::Star Wars: Episod;e I - The Phantom Menace (1999)::Action|Adventure|Fantasy|Sci-Fi
2629::Love Letter, The;(1999)::Comedy|Romance
2630::Besieged (L' Asse;dio) (1998)::Drama
2631::Frogs for Snakes;(1998)::Comedy|Film-Noir|Thriller
2632::Saragossa Manuscr;ipt, The (Rekopis znaleziony w Saragossie) (1965)::Drama
2633::Mummy, The (1932);::Horror|Romance
2634::Mummy, The (1959);::Horror
2635::Mummy's Curse, Th;e (1944)::Horror
2636::Mummy's Ghost, Th;e (1944)::Horror
2637::Mummy's Hand, The;(1940)::Horror
2638::Mummy's Tomb, The;(1942)::Horror
2639::Mommie Dearest (1;981)::Drama
2640::Superman (1978)::;Action|Adventure|Sci-Fi
2641::Superman II (1980;)::Action|Adventure|Sci-Fi
2642::Superman III (198;3)::Action|Adventure|Sci-Fi
2643::Superman IV: The;Quest for Peace (1987)::Action|Adventure|Sci-Fi
2644::Dracula (1931)::H;orror
2645::Dracula (1958)::H;orror
2646::House of Dracula;(1945)::Horror
2647::House of Frankens;tein (1944)::Horror
2648::Frankenstein (193;1)::Horror
2649::Son of Frankenste;in (1939)::Horror
2650::Ghost of Frankens;tein, The (1942)::Horror
2651::Frankenstein Meet;s the Wolf Man (1943)::Horror
2652::Curse of Frankens;tein, The (1957)::Horror
2653::Son of Dracula (1;943)::Horror
2654::Wolf Man, The (19;41)::Horror
2655::Howling II: Your;Sister Is a Werewolf (1985)::Horror
2656::Tarantula (1955):;:Horror|Sci-Fi
2657::Rocky Horror Pict;ure Show, The (1975)::Comedy|Horror|Musical|Sci-Fi
2658::Flying Saucer, Th;e (1950)::Sci-Fi
2659::It Came from Holl;ywood (1982)::Comedy|Documentary
2660::Thing From Anothe;r World, The (1951)::Sci-Fi
2661::It Came from Oute;r Space (1953)::Sci-Fi
2662::War of the Worlds;, The (1953)::Action|Sci-Fi|War
2663::It Came from Bene;ath the Sea (1955)::Sci-Fi
2664::Invasion of the B;ody Snatchers (1956)::Horror|Sci-Fi
2665::Earth Vs. the Fly;ing Saucers (1956)::Sci-Fi
2666::It Conquered the;World (1956)::Sci-Fi
2667::Mole People, The;(1956)::Sci-Fi
2668::Swamp Thing (1982;)::Horror|Sci-Fi
2669::Pork Chop Hill (1;959)::War
2670::Run Silent, Run D;eep (1958)::War
2671::Notting Hill (199;9)::Comedy|Romance
2672::Thirteenth Floor,;The (1999)::Drama|Sci-Fi|Thriller
2673::Eternity and a Da;y (Mia eoniotita ke mia mera ) (1998)::Drama
2674::Loss of Sexual In;nocence, The (1999)::Drama
2675::Twice Upon a Yest;erday (1998)::Comedy|Drama|Romance
2676::Instinct (1999)::;Drama|Thriller
2677::Buena Vista Socia;l Club (1999)::Documentary
2678::Desert Blue (1999;)::Drama
2679::Finding North (19;99)::Drama|Romance
2680::Floating (1997)::;Drama
2681::Free Enterprise (;1998)::Comedy|Romance|Sci-Fi
2682::Limbo (1999)::Dra;ma
2683::Austin Powers: Th;e Spy Who Shagged Me (1999)::Comedy
2684::Taxman (1999)::Co;medy|Drama
2685::Red Dwarf, The (L;e Nain rouge) (1998)::Comedy|Drama
2686::Red Violin, The (;Le Violon rouge) (1998)::Drama|Mystery
2687::Tarzan (1999)::An;imation|Children's
2688::General's Daughte;r, The (1999)::Drama|Thriller
2689::Get Bruce (1999):;:Documentary
2690::Ideal Husband, An;(1999)::Comedy
2691::Legend of 1900, T;he (Leggenda del pianista sull'oceano) (1998)::Drama
2692::Run Lola Run (Lol;a rennt) (1998)::Action|Crime|Romance
2693::Trekkies (1997)::;Documentary
2694::Big Daddy (1999):;:Comedy
2695::Boys, The (1997):;:Drama
2696::Dinner Game, The;(Le Dîner de cons) (1998)::Comedy
2697::My Son the Fanati;c (1998)::Comedy|Drama|Romance
2698::Zone 39 (1997)::S;ci-Fi
2699::Arachnophobia (19;90)::Action|Comedy|Sci-Fi|Thriller
2700::South Park: Bigge;r, Longer and Uncut (1999)::Animation|Comedy
2701::Wild Wild West (1;999)::Action|Sci-Fi|Western
2702::Summer of Sam (19;99)::Drama
2703::Broken Vessels (1;998)::Drama
2704::Lovers on the Bri;dge, The (Les Amants du Pont-Neuf) (1991)::Drama|Romance
2705::Late August, Earl;y September (Fin août, début septembre) (1998)::Drama
2706::American Pie (199;9)::Comedy
2707::Arlington Road (1;999)::Thriller
2708::Autumn Tale, An (;Conte d'automne) (1998)::Romance
2709::Muppets From Spac;e (1999)::Children's|Comedy
2710::Blair Witch Proje;ct, The (1999)::Horror
2711::My Life So Far (1;999)::Drama
2712::Eyes Wide Shut (1;999)::Drama
2713::Lake Placid (1999;)::Horror|Thriller
2714::Wood, The (1999):;:Drama
2715::Velocity of Gary,;The (1998)::Comedy|Romance
2716::Ghostbusters (198;4)::Comedy|Horror
2717::Ghostbusters II (;1989)::Comedy|Horror
2718::Drop Dead Gorgeou;s (1999)::Comedy
2719::Haunting, The (19;99)::Horror|Thriller
2720::Inspector Gadget;(1999)::Action|Adventure|Children's|Comedy
2721::Trick (1999)::Rom;ance
2722::Deep Blue Sea (19;99)::Action|Sci-Fi|Thriller
2723::Mystery Men (1999;)::Action|Adventure|Comedy
2724::Runaway Bride (19;99)::Comedy|Romance
2725::Twin Falls Idaho;(1999)::Drama
2726::Killing, The (195;6)::Crime|Film-Noir
2727::Killer's Kiss (19;55)::Film-Noir
2728::Spartacus (1960):;:Drama
2729::Lolita (1962)::Dr;ama
2730::Barry Lyndon (197;5)::Drama
2731::400 Blows, The (L;es Quatre cents coups) (1959)::Drama
2732::Jules and Jim (Ju;les et Jim) (1961)::Drama
2733::Vibes (1988)::Adv;enture|Comedy
2734::Mosquito Coast, T;he (1986)::Drama
2735::Golden Child, The;(1986)::Action|Adventure|Comedy
2736::Brighton Beach Me;moirs (1986)::Comedy
2737::Assassination (19;87)::Action
2738::Crimes of the Hea;rt (1986)::Comedy|Drama
2739::Color Purple, The;(1985)::Drama
2740::Kindred, The (198;6)::Horror
2741::No Mercy (1986)::;Action|Thriller
2742::Ménage (Tenue de;soirée) (1986)::Comedy|Drama
2743::Native Son (1986);::Drama
2744::Otello (1986)::Dr;ama
2745::Mission, The (198;6)::Drama
2746::Little Shop of Ho;rrors (1986)::Comedy|Horror|Musical
2747::Little Shop of Ho;rrors, The (1960)::Comedy|Horror
2748::Allan Quartermain;and the Lost City of Gold (1987)::Action|Adventure
2749::Morning After, Th;e (1986)::Drama|Mystery
2750::Radio Days (1987);::Comedy|Drama
2751::From the Hip (198;7)::Comedy
2752::Outrageous Fortun;e (1987)::Comedy|Mystery
2753::Bedroom Window, T;he (1987)::Thriller
2754::Deadtime Stories;(1987)::Horror
2755::Light of Day (198;7)::Drama
2756::Wanted: Dead or A;live (1987)::Action
2757::Frances (1982)::D;rama
2758::Plenty (1985)::Dr;ama
2759::Dick (1999)::Come;dy
2760::Gambler, The (A J;átékos) (1997)::Drama
2761::Iron Giant, The (;1999)::Animation|Children's
2762::Sixth Sense, The;(1999)::Thriller
2763::Thomas Crown Affa;ir, The (1999)::Action|Thriller
2764::Thomas Crown Affa;ir, The (1968)::Crime|Drama|Thriller
2765::Acid House, The (;1998)::Comedy|Drama
2766::Adventures of Seb;astian Cole, The (1998)::Comedy|Drama
2767::Illuminata (1998);::Comedy
2768::Stiff Upper Lips;(1998)::Comedy
2769::Yards, The (1999);::Crime|Mystery
2770::Bowfinger (1999):;:Comedy
2771::Brokedown Palace;(1999)::Drama
2772::Detroit Rock City;(1999)::Comedy
2773::Alice and Martin;(Alice et Martin) (1998)::Drama
2774::Better Than Choco;late (1999)::Comedy|Romance
2775::Head On (1998)::D;rama
2776::Marcello Mastroia;nni: I Remember Yes, I Remember (1997)::Documentary
2777::Cobra (1925)::Dra;ma
2778::Never Talk to Str;angers (1995)::Thriller
2779::Heaven Can Wait (;1978)::Comedy
2780::Raven, The (1963);::Comedy|Horror
2781::Tingler, The (195;9)::Horror
2782::Pit and the Pendu;lum (1961)::Horror
2783::Tomb of Ligeia, T;he (1965)::Horror
2784::Masque of the Red;Death, The (1964)::Horror
2785::Tales of Terror (;1962)::Horror
2786::Haunted Honeymoon;(1986)::Comedy
2787::Cat's Eye (1985):;:Horror
2788::And Now for Somet;hing Completely Different (1971)::Comedy
2789::Damien: Omen II (;1978)::Horror
2790::Final Conflict, T;he (a.k.a. Omen III: The Final Conflict) (1981)::Horror
2791::Airplane! (1980):;:Comedy
2792::Airplane II: The;Sequel (1982)::Comedy
2793::American Werewolf;in Paris, An (1997)::Comedy|Horror
2794::European Vacation;(1985)::Comedy
2795::Vacation (1983)::;Comedy
2796::Funny Farm (1988);::Comedy
2797::Big (1988)::Comed;y|Fantasy
2798::Problem Child (19;90)::Comedy
2799::Problem Child 2 (;1991)::Comedy
2800::Little Nemo: Adve;ntures in Slumberland (1992)::Animation|Children's
2801::Oscar and Lucinda;(a.k.a. Oscar & Lucinda) (1997)::Drama|Romance
2802::Tequila Sunrise (;1988)::Action|Romance|Thriller
2803::Pelican Brief, Th;e (1993)::Thriller
2804::Christmas Story,;A (1983)::Comedy|Drama
2805::Mickey Blue Eyes;(1999)::Comedy|Romance
2806::Teaching Mrs. Tin;gle (1999)::Comedy|Thriller
2807::Universal Soldier;: The Return (1999)::Action|Sci-Fi
2808::Universal Soldier;(1992)::Action|Sci-Fi
2809::Love Stinks (1999;)::Comedy
2810::Perfect Blue (199;7)::Animation|Mystery
2811::With Friends Like;These... (1998)::Comedy
2812::In Too Deep (1999;)::Action|Thriller
2813::Source, The (1999;)::Documentary
2814::Bat, The (1959)::;Horror
2815::Iron Eagle (1986);::Action|War
2816::Iron Eagle II (19;88)::Action|War
2817::Aces: Iron Eagle;III (1992)::Action|War
2818::Iron Eagle IV (19;95)::Action|War
2819::Three Days of the;Condor (1975)::Thriller
2820::Hamlet (1964)::Dr;ama
2821::Male and Female (;1919)::Adventure|Drama
2822::Medicine Man (199;2)::Adventure|Romance
2823::Spiders, The (Die;Spinnen, 1. Teil: Der Goldene See) (1919)::Action|Drama
2824::On the Ropes (199;9)::Documentary
2825::Rosie (1998)::Dra;ma
2826::13th Warrior, The;(1999)::Action|Horror|Thriller
2827::Astronaut's Wife,;The (1999)::Sci-Fi|Thriller
2828::Dudley Do-Right (;1999)::Children's|Comedy
2829::Muse, The (1999):;:Comedy|Drama
2830::Cabaret Balkan (B;ure Baruta) (1998)::Drama
2831::Dog of Flanders,;A (1999)::Drama
2832::Lost Son, The (19;99)::Drama
2833::Lucie Aubrac (199;7)::Romance|War
2834::Very Thought of Y;ou, The (1998)::Comedy|Romance
2835::Chill Factor (199;9)::Action|Thriller
2836::Outside Providenc;e (1999)::Comedy
2837::Bedrooms & Hallwa;ys (1998)::Comedy|Romance
2838::I Woke Up Early t;he Day I Died (1998)::Comedy
2839::West Beirut (West;Beyrouth) (1998)::Drama
2840::Stigmata (1999)::;Thriller
2841::Stir of Echoes (1;999)::Thriller
2842::Best Laid Plans (;1999)::Crime|Drama
2843::Black Cat, White;Cat (Crna macka, beli macor) (1998)::Comedy|Romance
2844::Minus Man, The (1;999)::Drama|Mystery
2845::White Boys (1999);::Drama
2846::Adventures of Mil;o and Otis, The (1986)::Children's
2847::Only Angels Have;Wings (1939)::Drama
2848::Othello (1952)::D;rama
2849::Queens Logic (199;1)::Comedy|Drama
2850::Public Access (19;93)::Drama|Thriller
2851::Saturn 3 (1979)::;Adventure|Sci-Fi|Thriller
2852::Soldier's Story,;A (1984)::Drama
2853::Communion (a.k.a.;Alice, Sweet Alice/Holy Terror) (1977)::Horror
2854::Don't Look in the;Basement! (1973)::Horror
2855::Nightmares (1983);::Horror
2856::I Saw What You Di;d (1965)::Thriller
2857::Yellow Submarine;(1968)::Animation|Musical
2858::American Beauty (;1999)::Comedy|Drama
2859::Stop Making Sense;(1984)::Documentary
2860::Blue Streak (1999;)::Comedy
2861::For Love of the G;ame (1999)::Comedy|Drama
2862::Caligula (1980)::;Drama
2863::Hard Day's Night,;A (1964)::Comedy|Musical
2864::Splendor (1999)::;Comedy
2865::Sugar Town (1999);::Comedy
